location,Latitude,Longitude
" california, united states",36.7014631,-118.755997
" stockholm, sweden",59.3251172,18.0710935
" wisconsin, united states",44.4308975,-89.6884637
" ohio, united states",40.2253569,-82.6881395
" virginia, united states",37.1232245,-78.4927721
" washington, united states",38.8950368,-77.0365427
" greater london, united kingdom",51.4893335,-0.1440551
" zuid-holland, netherlands",51.9966792,4.5597397
" new york, united states",40.7127281,-74.0060152
" missouri, united states",38.7604815,-92.5617875
" indiana, united states",40.3270127,-86.1746933
" arkansas, united states",35.2048883,-92.4479108
" tennessee, united states",35.7730076,-86.2820081
" georgia, united states",32.3293809,-83.1137366
" pennsylvania, united states",40.9699889,-77.7278831
" connecticut, united states",41.6500201,-72.7342163
" new jersey, united states",40.0757384,-74.4041622
" colorado, united states",38.7251776,-105.607716
" alabama, united states",33.2588817,-86.8295337
" maryland, united states",39.5162401,-76.9382069
" massachusetts, united states",42.3788774,-72.032366
" noord-brabant, netherlands",51.6017723,5.4441391
" illinois, united states",40.0796606,-89.4337288
" dublin, ireland",53.3493795,-6.2605593
" minnesota, united states",45.9896587,-94.6113288
" florida, united states",27.7567667,-81.4639835
" warwickshire, united kingdom",52.3213064,-1.5536906
" texas, united states",31.2638905,-98.5456116
" geneva, switzerland",46.2017559,6.1466014
" aquitaine, france",44.2462064,-0.1839979
" hampshire, united kingdom",51.0449814,-1.2433133
" rhode island, united states",41.7962409,-71.5992372
" maharashtra, india",18.9068356,75.6741579
" north carolina, united states",35.6729639,-79.0392919
" kentucky, united states",37.5726028,-85.1551411
" nebraska, united states",41.7370229,-99.5873816
" zurich, switzerland",47.3744489,8.5410422
" kansas, united states",38.27312,-98.5821872
" utah, united states",39.4225192,-111.714358
" ontario, canada",50.000678,-86.000977
" surrey, united kingdom",51.2715316,-0.3414524
" delaware, united states",38.6920451,-75.4013315
" hessen, germany",50.6080651,9.0284647
" karnataka, india",14.5203896,75.7223521
" alberta, canada",55.001251,-115.002136
" rheinland-pfalz, germany",49.9531599,7.310646
" michigan, united states",43.6211955,-84.6824346
" louisiana, united states",30.8703881,-92.007126
" district of columbia, united states",38.8950368,-77.0365427
" arizona, united states",34.395342,-111.763275
" uusimaa, finland",60.2246684,25.1272631
" moscow city, russia",55.7477043,37.5318626
